NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(0, 23, 40, 24)","(80.936, 4.945, 12.489)","(25, 40.41, 75.69)",60.86,3753,"(193, 172, 115)","(35, 33, 20)"
"(0, 8, 14, 31)","(82.426, 1.346, 4.026)","(28, 14.86, 68.63)",63.96,5346,"(175, 171, 149)","(36, 37, 33)"
"(0, 25, 39, 33)","(76.6, 6.053, 10.312)","(21, 39.05, 66.27)",52.35,3833,"(169, 138, 103)","(26, 24, 16)"
"(0, 16, 28, 16)","(86.114, 3.614, 8.669)","(25, 28.97, 83.92)",72.07,4405,"(214, 196, 152)","(49, 48, 36)"
"(0, 21, 37, 23)","(81.923, 4.242, 11.618)","(26, 37.44, 76.47)",62.9,3916,"(195, 178, 122)","(37, 35, 22)"
"(0, 20, 29, 30)","(79.248, 5.126, 7.052)","(18, 29.55, 69.02)",57.45,4358,"(176, 147, 124)","(30, 29, 22)"
"(0, 22, 34, 55)","(67.102, 4.672, 7.291)","(20, 34.21, 44.71)",36.31,4086,"(114, 94, 75)","(11, 11, 8)"
"(0, 9, 16, 34)","(80.62, 1.76, 4.32)","(26, 16.77, 65.49)",60.21,5204,"(167, 160, 139)","(31, 32, 29)"
"(0, 8, 12, 43)","(76.524, 1.757, 2.616)","(20, 12.59, 56.08)",52.2,5491,"(143, 134, 125)","(23, 23, 23)"
"(0, 16, 27, 27)","(82.008, 3.333, 7.63)","(25, 27.42, 72.94)",63.08,4501,"(186, 170, 135)","(36, 35, 27)"
"(0, 19, 26, 38)","(76.397, 4.683, 5.801)","(17, 26.75, 61.57)",51.97,4525,"(157, 131, 115)","(24, 23, 19)"
"(0, 6, 11, 32)","(82.348, 1.101, 3.036)","(27, 11.63, 67.45)",63.8,5580,"(172, 168, 152)","(35, 36, 34)"
"(0, 13, 18, 30)","(81.327, 3.27, 3.899)","(17, 18.18, 69.02)",61.66,5093,"(176, 156, 144)","(34, 34, 31)"
"(0, 14, 21, 61)","(65.21, 2.65, 4.016)","(20, 21.65, 38.04)",33.52,4853,"(97, 86, 76)","(9, 9, 7)"
"(0, 15, 29, 7)","(89.56, 2.972, 9.853)","(28, 29.66, 92.55)",80.19,4358,"(236, 228, 166)","(61, 61, 44)"
"(0, 32, 52, 37)","(72.746, 7.57, 15.18)","(22, 52.2, 62.35)",45.42,3208,"(159, 125, 76)","(21, 18, 9)"
"(0, 14, 26, 20)","(84.885, 2.972, 7.703)","(26, 26.24, 79.22)",69.3,4574,"(202, 189, 149)","(44, 44, 34)"
"(0, 12, 22, 31)","(81.177, 2.34, 6.073)","(26, 22.29, 68.63)",61.35,4827,"(175, 166, 136)","(33, 33, 28)"
"(0, 17, 29, 30)","(79.95, 3.658, 8.059)","(24, 29.55, 69.02)",58.85,4358,"(176, 159, 124)","(31, 30, 23)"
"(0, 16, 30, 15)","(86.359, 3.008, 9.877)","(28, 30.7, 84.31)",72.63,4288,"(215, 207, 149)","(49, 49, 35)"
"(0, 13, 24, 18)","(86.239, 2.733, 7.423)","(27, 24.88, 81.96)",72.35,4648,"(209, 198, 157)","(48, 48, 39)"
"(0, 28, 46, 13)","(83.558, 6.924, 15.039)","(24, 46.15, 86.67)",66.39,3486,"(221, 184, 119)","(45, 41, 22)"
"(0, 21, 31, 52)","(68.901, 4.603, 6.583)","(19, 31.4, 47.45)",39.08,4242,"(121, 100, 83)","(13, 12, 10)"
"(0, 25, 40, 13)","(84.496, 6.424, 12.278)","(22, 40.27, 86.67)",68.44,3773,"(221, 184, 132)","(47, 44, 27)"
"(0, 5, 11, 22)","(86.746, 0.752, 3.504)","(31, 11.68, 77.25)",73.52,5580,"(195, 197, 174)","(48, 49, 46)"
"(0, 10, 25, 34)","(80.079, 0.591, 8.509)","(36, 25.9, 65.1)",59.11,4574,"(151, 166, 123)","(30, 30, 23)"
"(0, 10, 20, 42)","(76.581, 1.705, 5.34)","(28, 20.41, 57.65)",52.31,4931,"(147, 143, 117)","(23, 23, 20)"
"(0, 24, 44, 26)","(79.691, 4.489, 14.792)","(28, 44.92, 73.33)",58.33,3541,"(187, 175, 103)","(32, 30, 17)"
"(0, 16, 28, 18)","(85.059, 3.699, 8.265)","(24, 28.5, 81.18)",69.69,4429,"(207, 188, 148)","(45, 44, 34)"
"(0, 11, 21, 15)","(88.095, 1.939, 6.595)","(29, 21.3, 84.71)",76.67,4879,"(216, 212, 170)","(54, 55, 45)"
"(0, 21, 39, 19)","(83.305, 4.354, 12.999)","(27, 39.81, 80.78)",65.84,3792,"(206, 191, 124)","(42, 40, 24)"
"(0, 17, 32, 28)","(80.859, 3.102, 10.032)","(28, 32.97, 71.37)",60.7,4153,"(182, 174, 122)","(33, 32, 22)"
"(0, 16, 23, 34)","(78.968, 4.066, 5.331)","(18, 23.81, 65.88)",56.9,4724,"(168, 145, 128)","(29, 28, 24)"
"(0, 12, 24, 54)","(70.011, 1.743, 6.155)","(29, 24.79, 45.88)",40.85,4648,"(117, 115, 88)","(13, 13, 11)"
"(0, 13, 23, 45)","(74.297, 2.096, 6.118)","(27, 23.91, 54.12)",48.13,4724,"(138, 132, 105)","(19, 19, 16)"
"(0, 9, 21, 28)","(83.185, 1.097, 6.91)","(33, 21.86, 71.76)",65.58,4853,"(175, 183, 143)","(37, 39, 31)"
"(0, 16, 40, 29)","(80.885, 0.926, 15.045)","(36, 40.88, 70.98)",60.75,3733,"(154, 181, 107)","(32, 33, 18)"
"(0, 11, 22, 29)","(82.41, 1.828, 6.674)","(29, 22.65, 70.98)",63.93,4801,"(181, 179, 140)","(36, 36, 29)"
"(0, 11, 26, 19)","(85.969, 1.324, 8.981)","(33, 26.47, 80.0)",71.74,4549,"(193, 204, 150)","(46, 47, 35)"
"(0, 16, 27, 27)","(82.008, 3.333, 7.63)","(25, 27.42, 72.94)",63.08,4501,"(186, 170, 135)","(36, 35, 27)"
"(0, 10, 23, 23)","(85.176, 1.034, 7.805)","(34, 23.47, 76.86)",69.95,4749,"(185, 196, 150)","(43, 44, 34)"
"(0, 13, 26, 37)","(78.325, 1.785, 7.92)","(31, 26.88, 62.75)",55.64,4525,"(158, 160, 117)","(26, 27, 20)"
"(0, 13, 26, 40)","(76.728, 2.161, 7.263)","(29, 26.32, 59.61)",52.59,4549,"(152, 148, 112)","(23, 24, 18)"
"(0, 7, 19, 24)","(85.503, 0.21, 6.845)","(38, 19.69, 75.69)",70.68,4985,"(177, 193, 155)","(43, 45, 37)"
"(0, 11, 23, 33)","(80.48, 1.719, 6.891)","(30, 23.53, 66.67)",59.92,4724,"(170, 170, 130)","(31, 31, 25)"
"(0, 14, 29, 20)","(84.808, 2.445, 9.332)","(29, 29.21, 79.22)",69.13,4382,"(202, 200, 143)","(43, 43, 31)"
"(0, 12, 22, 17)","(87.007, 2.384, 6.615)","(27, 22.27, 82.75)",74.12,4827,"(211, 201, 164)","(51, 51, 42)"
"(0, 14, 34, 29)","(81.091, 1.341, 11.643)","(34, 34.08, 70.2)",61.18,4108,"(163, 179, 118)","(33, 33, 21)"
"(0, 15, 28, 29)","(81.269, 2.468, 8.702)","(29, 28.89, 70.59)",61.54,4405,"(180, 176, 128)","(34, 34, 25)"
"(0, 13, 25, 19)","(85.784, 2.17, 8.152)","(29, 25.85, 80.39)",71.32,4599,"(205, 203, 152)","(46, 47, 36)"
"(0, 24, 42, 30)","(78.316, 4.942, 12.799)","(26, 42.13, 69.8)",55.62,3674,"(178, 158, 103)","(29, 27, 17)"
"(0, 18, 35, 23)","(82.825, 3.213, 11.32)","(29, 35.2, 76.86)",64.81,4043,"(196, 190, 127)","(38, 38, 25)"
"(0, 26, 48, 30)","(77.323, 4.907, 15.764)","(28, 48.3, 69.02)",53.71,3378,"(176, 163, 91)","(27, 25, 12)"
"(0, 18, 32, 27)","(81.348, 3.616, 9.476)","(26, 32.26, 72.94)",61.71,4197,"(186, 171, 126)","(35, 34, 24)"
"(0, 8, 16, 40)","(78.329, 1.273, 4.328)","(29, 16.34, 60.0)",55.65,5232,"(153, 151, 128)","(26, 26, 24)"
"(0, 19, 34, 24)","(82.178, 3.801, 10.383)","(26, 34.2, 75.69)",63.44,4086,"(193, 178, 127)","(37, 36, 24)"
"(0, 12, 21, 18)","(86.412, 2.916, 5.743)","(23, 21.15, 81.57)",72.75,4905,"(208, 191, 164)","(49, 48, 41)"
"(0, 15, 26, 14)","(87.101, 3.482, 7.6)","(24, 26.15, 85.49)",74.34,4574,"(218, 199, 161)","(52, 51, 41)"
"(0, 17, 28, 40)","(75.975, 3.604, 7.218)","(23, 28.76, 60.0)",51.18,4405,"(153, 136, 109)","(23, 22, 17)"
"(0, 11, 19, 28)","(82.858, 2.365, 4.98)","(24, 19.13, 71.76)",64.88,5039,"(183, 171, 148)","(37, 37, 33)"
"(0, 11, 21, 35)","(79.521, 1.962, 5.792)","(27, 21.34, 64.31)",57.99,4879,"(164, 158, 129)","(29, 29, 24)"
"(0, 15, 31, 24)","(83.167, 2.343, 10.241)","(30, 31.61, 75.69)",65.55,4242,"(191, 193, 132)","(39, 39, 27)"
"(0, 7, 12, 21)","(86.903, 1.478, 3.486)","(25, 12.94, 78.82)",73.88,5491,"(201, 194, 175)","(49, 50, 47)"
"(0, 21, 41, 30)","(78.861, 3.658, 13.211)","(29, 41.24, 69.41)",56.69,3713,"(177, 171, 104)","(29, 28, 17)"
"(0, 6, 13, 26)","(84.904, 1.025, 4.016)","(30, 13.83, 73.73)",69.34,5403,"(188, 188, 162)","(42, 43, 40)"
"(0, 20, 43, 45)","(72.526, 2.602, 13.497)","(31, 43.57, 54.9)",45.04,3597,"(134, 140, 79)","(17, 17, 10)"
"(0, 9, 18, 25)","(84.51, 1.517, 5.401)","(29, 18.42, 74.51)",68.47,5093,"(190, 188, 155)","(41, 42, 37)"
"(0, 15, 26, 30)","(80.45, 3.367, 6.88)","(23, 26.14, 69.02)",59.86,4574,"(176, 159, 130)","(32, 32, 25)"
"(0, 13, 24, 46)","(74.06, 1.996, 6.484)","(28, 24.82, 53.73)",47.71,4648,"(137, 133, 103)","(19, 19, 15)"
"(0, 10, 19, 23)","(85.152, 1.996, 5.517)","(27, 19.39, 76.86)",69.9,5012,"(196, 188, 158)","(44, 44, 38)"
"(0, 23, 31, 23)","(81.359, 6.492, 7.353)","(16, 31.44, 76.08)",61.73,4242,"(194, 154, 133)","(37, 34, 26)"
"(0, 13, 26, 19)","(85.647, 2.339, 8.24)","(29, 26.34, 80.39)",71.01,4549,"(205, 201, 151)","(46, 46, 35)"
"(0, 16, 29, 17)","(85.546, 3.404, 8.976)","(26, 29.52, 82.35)",70.78,4358,"(210, 195, 148)","(47, 46, 34)"
"(0, 16, 27, 16)","(85.806, 3.894, 7.936)","(23, 27.83, 83.14)",71.37,4476,"(212, 190, 153)","(48, 47, 36)"
"(0, 10, 18, 8)","(90.748, 2.231, 5.613)","(26, 18.88, 91.37)",83.11,5039,"(233, 222, 189)","(65, 65, 57)"
"(0, 9, 14, 30)","(82.346, 1.886, 3.627)","(23, 14.77, 69.02)",63.8,5346,"(176, 166, 150)","(35, 36, 33)"
"(0, 18, 34, 18)","(84.4, 3.704, 10.855)","(27, 34.3, 81.18)",68.23,4086,"(207, 194, 136)","(44, 42, 29)"
"(0, 23, 40, 40)","(73.878, 4.755, 11.126)","(25, 40.4, 59.22)",47.39,3753,"(151, 132, 90)","(20, 19, 12)"
"(0, 15, 32, 2)","(91.111, 2.477, 11.854)","(31, 32.66, 97.25)",84.02,4175,"(242, 248, 167)","(68, 68, 46)"
"(0, 15, 30, 7)","(89.525, 2.732, 10.609)","(30, 30.93, 92.55)",80.1,4288,"(236, 234, 163)","(61, 61, 43)"
"(0, 19, 34, 14)","(86.062, 3.899, 11.206)","(27, 34.7, 85.88)",71.95,4064,"(219, 204, 143)","(49, 48, 32)"
"(0, 20, 37, 9)","(87.36, 4.088, 12.819)","(28, 37.66, 90.59)",74.94,3895,"(231, 218, 144)","(55, 53, 33)"
"(0, 21, 37, 33)","(77.739, 4.468, 10.532)","(25, 37.06, 66.67)",54.51,3936,"(170, 151, 107)","(27, 26, 17)"
"(0, 23, 40, 31)","(77.868, 4.912, 11.789)","(25, 40.23, 68.24)",54.75,3773,"(174, 153, 104)","(28, 26, 16)"
"(0, 15, 28, 13)","(87.425, 3.283, 8.627)","(26, 28.05, 86.67)",75.09,4452,"(221, 206, 159)","(53, 52, 40)"
"(0, 20, 36, 9)","(87.348, 4.099, 12.22)","(27, 36.52, 90.2)",74.92,3957,"(230, 215, 146)","(54, 53, 34)"
"(0, 21, 36, 26)","(80.61, 4.558, 10.677)","(25, 36.36, 73.33)",60.19,3979,"(187, 166, 119)","(34, 32, 21)"
"(0, 18, 26, 30)","(80.117, 4.589, 6.412)","(19, 26.97, 69.8)",59.19,4525,"(178, 151, 130)","(32, 31, 25)"
"(0, 21, 35, 47)","(71.133, 4.333, 8.658)","(23, 35.34, 52.16)",42.69,4022,"(133, 115, 86)","(16, 15, 10)"
"(0, 26, 44, 21)","(81.028, 6.07, 13.997)","(24, 44.5, 78.43)",61.05,3560,"(200, 171, 111)","(37, 34, 19)"
"(0, 25, 42, 26)","(79.481, 5.557, 12.759)","(24, 42.25, 73.33)",57.91,3674,"(187, 161, 108)","(32, 30, 18)"
"(0, 20, 33, 34)","(77.857, 4.189, 9.312)","(24, 33.93, 65.88)",54.73,4108,"(168, 149, 111)","(27, 26, 18)"
"(0, 24, 38, 35)","(76.105, 5.829, 9.939)","(21, 38.18, 64.71)",51.42,3874,"(165, 135, 102)","(25, 23, 15)"
"(0, 23, 38, 32)","(77.475, 5.168, 10.511)","(23, 38.01, 67.06)",54.0,3895,"(171, 146, 106)","(27, 26, 16)"
"(0, 16, 29, 49)","(71.739, 2.863, 7.557)","(26, 30.0, 50.98)",43.71,4335,"(130, 121, 91)","(16, 16, 11)"
"(0, 12, 23, 11)","(88.915, 2.597, 7.025)","(27, 23.11, 88.24)",78.63,4775,"(225, 214, 173)","(58, 58, 47)"
"(0, 27, 42, 23)","(80.344, 6.725, 12.334)","(22, 42.35, 76.86)",59.65,3674,"(196, 159, 113)","(35, 32, 20)"
"(0, 15, 26, 18)","(85.659, 3.254, 7.705)","(25, 26.44, 81.57)",71.04,4549,"(208, 192, 153)","(47, 46, 36)"
"(0, 15, 27, 33)","(79.349, 2.777, 7.802)","(27, 27.81, 66.27)",57.65,4476,"(169, 159, 122)","(29, 29, 22)"
"(0, 19, 32, 44)","(73.387, 3.911, 8.105)","(23, 32.39, 55.69)",46.53,4197,"(142, 125, 96)","(19, 18, 13)"
"(0, 18, 34, 21)","(83.386, 3.268, 10.892)","(28, 34.17, 78.04)",66.02,4086,"(199, 191, 131)","(40, 40, 27)"
"(0, 12, 18, 40)","(77.411, 2.773, 3.956)","(19, 18.3, 60.0)",53.88,5093,"(153, 138, 125)","(25, 25, 23)"
"(0, 21, 36, 26)","(80.664, 4.827, 10.435)","(24, 36.17, 73.73)",60.3,3979,"(188, 164, 120)","(34, 32, 22)"
"(0, 30, 44, 32)","(75.554, 8.054, 11.751)","(19, 44.77, 67.45)",50.41,3541,"(172, 129, 95)","(25, 22, 13)"
"(0, 19, 35, 7)","(88.229, 4.268, 11.794)","(26, 35.59, 92.55)",76.99,4022,"(236, 218, 152)","(58, 56, 37)"
"(0, 20, 29, 58)","(65.632, 4.37, 5.545)","(17, 29.52, 41.18)",34.13,4358,"(105, 86, 74)","(10, 9, 7)"
"(0, 22, 40, 3)","(88.578, 4.814, 14.324)","(27, 40.82, 96.08)",77.82,3733,"(245, 226, 145)","(60, 57, 34)"
"(0, 13, 23, 13)","(88.141, 2.874, 6.949)","(25, 23.53, 86.67)",76.78,4724,"(221, 207, 169)","(55, 55, 45)"
"(0, 25, 40, 29)","(78.258, 5.723, 11.671)","(23, 40.78, 70.2)",55.51,3753,"(179, 151, 106)","(29, 27, 17)"
"(0, 23, 46, 14)","(84.482, 4.269, 16.973)","(29, 46.58, 85.88)",68.41,3468,"(219, 215, 117)","(46, 44, 23)"
"(0, 25, 40, 33)","(76.615, 6.038, 11.052)","(22, 40.59, 66.67)",52.37,3753,"(170, 140, 101)","(26, 24, 15)"
"(0, 22, 36, 24)","(81.304, 5.025, 10.727)","(24, 36.79, 75.69)",61.62,3957,"(193, 168, 122)","(36, 34, 22)"
"(0, 14, 24, 9)","(89.088, 3.353, 7.296)","(24, 24.78, 90.2)",79.05,4648,"(230, 211, 173)","(59, 59, 48)"
"(0, 18, 31, 26)","(81.429, 4.07, 8.655)","(24, 31.02, 73.33)",61.87,4266,"(187, 167, 129)","(35, 34, 25)"
"(0, 21, 34, 37)","(76.229, 4.545, 9.02)","(23, 34.38, 62.75)",51.65,4086,"(160, 138, 105)","(24, 23, 16)"
"(0, 15, 21, 43)","(75.014, 3.529, 4.407)","(17, 21.53, 56.47)",49.42,4879,"(144, 125, 113)","(21, 20, 18)"
"(0, 19, 36, 42)","(74.385, 3.06, 10.306)","(28, 36.05, 57.65)",48.29,4000,"(147, 141, 94)","(20, 19, 13)"
"(0, 15, 27, 11)","(87.985, 3.57, 8.085)","(25, 27.11, 88.24)",76.41,4501,"(225, 206, 164)","(55, 55, 42)"
"(0, 29, 50, 26)","(78.31, 6.392, 16.473)","(25, 50.53, 73.73)",55.61,3292,"(188, 162, 93)","(30, 27, 14)"
"(0, 15, 28, 11)","(88.233, 3.067, 8.988)","(27, 28.32, 88.63)",77.0,4429,"(226, 215, 162)","(56, 55, 41)"
"(0, 19, 38, 15)","(85.317, 3.509, 13.415)","(29, 38.89, 84.71)",70.27,3833,"(216, 212, 132)","(47, 46, 28)"
"(0, 17, 31, 34)","(78.235, 3.109, 9.163)","(27, 31.93, 65.1)",55.46,4220,"(166, 156, 113)","(27, 27, 19)"
"(0, 8, 17, 10)","(90.726, 1.407, 5.566)","(30, 17.47, 89.8)",83.06,5149,"(229, 229, 189)","(64, 66, 57)"
"(0, 19, 31, 52)","(69.484, 3.719, 7.426)","(23, 31.97, 47.84)",40.01,4220,"(122, 107, 83)","(13, 13, 10)"
"(0, 23, 38, 51)","(68.934, 4.433, 9.551)","(24, 38.71, 48.63)",39.13,3854,"(124, 107, 76)","(13, 12, 8)"
"(0, 19, 33, 25)","(81.697, 4.294, 9.686)","(24, 33.51, 74.9)",62.43,4130,"(191, 170, 127)","(36, 35, 24)"
"(0, 7, 14, 41)","(77.663, 1.109, 3.654)","(29, 14.19, 58.04)",54.36,5374,"(148, 146, 127)","(25, 25, 23)"
"(0, 20, 33, 43)","(73.865, 3.967, 8.437)","(24, 33.1, 56.86)",47.37,4153,"(145, 128, 97)","(19, 18, 13)"
"(0, 12, 14, 55)","(69.665, 2.874, 2.188)","(11, 14.91, 44.71)",40.3,5317,"(114, 100, 97)","(13, 13, 13)"
"(0, 24, 46, 16)","(83.496, 4.882, 16.215)","(28, 46.26, 83.92)",66.25,3486,"(214, 200, 115)","(43, 41, 21)"
"(0, 17, 36, 21)","(83.58, 2.28, 12.721)","(32, 36.68, 78.04)",66.44,3957,"(189, 199, 126)","(40, 40, 25)"
"(0, 18, 36, 29)","(80.114, 3.126, 11.583)","(29, 36.67, 70.59)",59.18,3957,"(180, 176, 114)","(32, 31, 20)"
"(0, 11, 21, 30)","(81.515, 2.146, 5.96)","(27, 21.59, 69.02)",62.05,4853,"(176, 168, 138)","(34, 34, 28)"
"(0, 15, 26, 29)","(81.134, 2.856, 7.567)","(26, 26.82, 70.2)",61.26,4525,"(179, 168, 131)","(33, 33, 26)"
"(0, 9, 14, 31)","(82.161, 1.893, 3.641)","(23, 14.86, 68.63)",63.4,5346,"(175, 165, 149)","(35, 36, 33)"
"(0, 23, 37, 47)","(70.98, 4.672, 9.242)","(23, 37.31, 52.55)",42.44,3916,"(134, 114, 84)","(16, 15, 10)"
"(0, 23, 34, 37)","(75.621, 5.822, 8.152)","(19, 34.38, 62.75)",50.53,4086,"(160, 129, 105)","(23, 22, 16)"
"(0, 12, 24, 24)","(83.997, 2.269, 7.249)","(28, 24.35, 75.69)",67.34,4673,"(193, 187, 146)","(41, 41, 33)"
"(0, 20, 35, 23)","(82.097, 4.238, 10.909)","(26, 35.9, 76.47)",63.27,4000,"(195, 177, 125)","(38, 36, 24)"
"(0, 18, 33, 23)","(82.549, 3.773, 10.297)","(26, 33.85, 76.47)",64.22,4108,"(195, 180, 129)","(38, 37, 26)"
"(0, 15, 30, 19)","(84.996, 2.426, 9.905)","(30, 30.39, 80.0)",69.55,4311,"(204, 204, 142)","(44, 44, 31)"
"(0, 8, 17, 32)","(82.0, 0.98, 5.153)","(32, 17.34, 67.84)",63.07,5149,"(169, 173, 143)","(34, 35, 30)"
"(0, 7, 16, 44)","(76.524, 0.514, 4.896)","(35, 16.9, 55.69)",52.2,5176,"(135, 142, 118)","(22, 23, 20)"
"(0, 7, 17, 34)","(81.207, 0.816, 5.174)","(33, 17.26, 65.88)",61.42,5149,"(162, 168, 139)","(32, 33, 29)"
"(0, 11, 20, 30)","(82.052, 2.04, 5.548)","(27, 20.22, 69.8)",63.18,4958,"(178, 170, 142)","(35, 35, 30)"
"(0, 15, 27, 35)","(78.568, 2.923, 7.637)","(26, 27.88, 64.71)",56.11,4452,"(165, 154, 119)","(28, 27, 20)"
"(0, 12, 23, 27)","(83.04, 2.151, 6.717)","(28, 23.12, 72.94)",65.27,4775,"(186, 180, 143)","(38, 38, 31)"
"(0, 7, 13, 45)","(75.77, 1.168, 3.122)","(27, 13.04, 54.12)",50.8,5461,"(138, 134, 120)","(21, 22, 21)"
"(0, 14, 25, 27)","(82.408, 2.609, 7.291)","(27, 25.41, 72.55)",63.93,4623,"(185, 175, 138)","(37, 37, 28)"
"(0, 5, 8, 29)","(84.132, 0.994, 2.039)","(24, 8.33, 70.59)",67.64,5823,"(180, 175, 165)","(40, 41, 41)"
"(0, 11, 20, 43)","(75.812, 2.148, 4.883)","(25, 20.14, 56.47)",50.88,4958,"(144, 135, 115)","(22, 22, 19)"
"(0, 13, 21, 26)","(83.171, 2.855, 5.745)","(23, 21.81, 73.73)",65.55,4853,"(188, 173, 147)","(39, 39, 32)"
"(0, 17, 34, 33)","(78.765, 2.575, 10.613)","(30, 34.32, 66.27)",56.5,4086,"(169, 169, 111)","(28, 28, 19)"
"(0, 13, 25, 31)","(80.821, 2.334, 7.408)","(28, 25.71, 68.63)",60.62,4599,"(175, 169, 130)","(32, 32, 25)"
"(0, 15, 36, 23)","(83.581, 1.414, 13.02)","(35, 36.22, 76.86)",66.44,3979,"(176, 196, 125)","(40, 40, 25)"
"(0, 13, 24, 21)","(84.999, 2.722, 7.29)","(26, 24.88, 78.82)",69.55,4648,"(201, 190, 151)","(44, 44, 35)"
"(0, 12, 21, 27)","(82.949, 2.695, 5.706)","(24, 21.51, 72.94)",65.08,4879,"(186, 172, 146)","(38, 38, 32)"
"(0, 7, 13, 46)","(75.342, 1.179, 3.153)","(27, 13.24, 53.33)",50.02,5461,"(136, 132, 118)","(21, 21, 20)"
"(0, 11, 22, 26)","(83.548, 1.958, 6.578)","(29, 22.34, 73.73)",66.37,4827,"(188, 184, 146)","(39, 39, 33)"
"(0, 12, 22, 36)","(79.154, 2.065, 6.206)","(28, 22.7, 63.92)",57.26,4801,"(163, 157, 126)","(28, 28, 23)"
"(0, 15, 32, 26)","(82.193, 2.12, 10.687)","(31, 32.62, 73.33)",63.47,4175,"(181, 187, 126)","(36, 36, 24)"
"(0, 12, 25, 33)","(80.286, 1.616, 7.87)","(31, 25.88, 66.67)",59.53,4574,"(166, 170, 126)","(31, 31, 24)"
"(0, 8, 21, 38)","(78.672, 0.746, 6.435)","(35, 21.15, 61.18)",56.32,4905,"(147, 156, 123)","(26, 27, 22)"
"(0, 16, 31, 36)","(77.553, 2.871, 8.837)","(28, 31.06, 63.14)",54.15,4266,"(161, 153, 111)","(26, 25, 18)"
"(0, 7, 17, 29)","(83.589, 0.595, 5.448)","(35, 17.13, 70.98)",66.46,5176,"(172, 181, 150)","(38, 39, 34)"
"(0, 19, 39, 19)","(83.913, 2.842, 13.854)","(31, 39.51, 80.39)",67.16,3813,"(199, 205, 124)","(42, 41, 24)"
"(0, 15, 28, 34)","(78.896, 2.516, 8.113)","(28, 28.31, 65.1)",56.76,4429,"(166, 160, 119)","(28, 28, 21)"
"(0, 22, 39, 34)","(77.136, 4.512, 11.423)","(25, 39.29, 65.88)",53.36,3813,"(168, 150, 102)","(26, 24, 15)"
"(0, 14, 28, 21)","(84.556, 2.123, 9.25)","(31, 28.64, 78.04)",68.57,4405,"(197, 199, 142)","(43, 43, 31)"
"(0, 11, 23, 22)","(85.263, 1.452, 7.655)","(32, 23.74, 77.65)",70.15,4724,"(192, 198, 151)","(44, 44, 35)"
"(0, 11, 23, 25)","(84.049, 1.668, 7.314)","(31, 23.56, 74.9)",67.46,4724,"(189, 191, 146)","(40, 41, 33)"
"(0, 19, 33, 34)","(77.77, 3.815, 9.177)","(25, 33.13, 65.1)",54.57,4153,"(166, 150, 111)","(27, 26, 18)"
"(0, 24, 45, 26)","(79.677, 4.393, 15.125)","(28, 45.45, 73.33)",58.31,3522,"(187, 177, 102)","(32, 30, 16)"
"(0, 21, 45, 18)","(83.627, 2.894, 17.025)","(32, 45.67, 81.57)",66.54,3504,"(194, 208, 113)","(42, 41, 21)"
"(0, 10, 24, 18)","(87.224, 0.813, 8.559)","(35, 24.4, 81.96)",74.63,4673,"(193, 209, 158)","(50, 51, 39)"
"(0, 10, 24, 21)","(85.711, 1.013, 8.307)","(34, 24.5, 78.43)",71.15,4673,"(187, 200, 151)","(45, 46, 35)"
"(0, 8, 18, 25)","(84.637, 1.256, 5.584)","(31, 18.42, 74.51)",68.75,5093,"(188, 190, 155)","(42, 43, 37)"
"(0, 12, 24, 28)","(82.276, 1.997, 7.387)","(29, 24.73, 71.37)",63.65,4648,"(182, 180, 137)","(36, 36, 28)"
"(0, 10, 26, 28)","(82.817, 0.898, 8.774)","(35, 26.23, 71.76)",64.8,4574,"(169, 183, 135)","(36, 38, 28)"
"(0, 15, 27, 19)","(84.947, 3.211, 8.089)","(26, 27.45, 80.0)",69.44,4476,"(204, 190, 148)","(44, 44, 34)"
"(0, 10, 19, 38)","(78.815, 1.526, 5.373)","(29, 19.62, 61.96)",56.6,4985,"(158, 156, 127)","(27, 28, 23)"
"(0, 14, 28, 30)","(80.998, 2.122, 8.612)","(30, 28.25, 69.41)",60.98,4429,"(177, 177, 127)","(33, 33, 24)"
"(0, 10, 18, 29)","(82.78, 2.021, 4.857)","(25, 18.23, 70.98)",64.72,5093,"(181, 172, 148)","(37, 37, 33)"
"(0, 15, 31, 25)","(82.591, 2.289, 10.014)","(31, 31.22, 74.12)",64.31,4266,"(187, 189, 130)","(37, 37, 26)"
"(0, 9, 21, 34)","(80.33, 1.089, 6.342)","(33, 21.08, 65.1)",59.62,4905,"(160, 166, 131)","(30, 31, 26)"
